addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 가평군 청평면 북한강로 1921,,31.0,A05,A0502,A05020900,2765556,39,20211102004821,http://tong.visitkorea.or.kr/cms/resource/50/2766250_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/50/2766250_image2_1.png,Type3,127.3875635813,37.6892807284,6.0,20250415161155,1.0,,이정웅스페이스,12458,41,820.0,FD,FD05,FD050100
경기도 가평군 설악면 유명로 2110,,31.0,A03,A0302,A03021700,2741523,28,20210908192730,http://tong.visitkorea.or.kr/cms/resource/61/2741661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2741661_image3_1.jpg,Type3,127.4602706705,37.6956035491,6.0,20250411151807,1.0,,이지캠핑장,12459,41,820.0,AC,AC05,AC050100
경기도 양주시 장흥면 권율로 253,,31.0,A05,A0502,A05020100,2871544,39,20221020113221,http://tong.visitkorea.or.kr/cms/resource/27/2871527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2871527_image3_1.jpg,Type3,126.9509048355,37.7359673724,6.0,20250623131852,18.0,,이집이좋겠네,11519,41,630.0,FD,FD01,FD010100
경기 가평군 상면 연하리,,,,,,1201060,12,20110210223915,https://tong.visitkorea.or.kr/cms/resource/43/3510843_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/3510843_image3_1.jpg,Type3,127.348089770535,37.7986531357921,6.0,20260312090840,,,이천보고가,12444,41,820.0,HS,HS01,HS010400
경기도 가평군 청평면 호반로 1063,,31.0,A02,A0202,A02020600,2721583,12,20210617014236,http://tong.visitkorea.or.kr/cms/resource/45/3352545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3352545_image3_1.jpg,Type3,127.4909256481,37.7150574078,6.0,20251027172251,1.0,,이탈리아마을 피노키오와 다빈치,12456,41,820.0,VE,VE02,VE020100
경기도 파주시 가람로21번길 51-10 (와동동),,31.0,A05,A0502,A05020200,2836110,39,20220811164950,http://tong.visitkorea.or.kr/cms/resource/02/2836102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2836102_image3_1.jpg,Type3,126.7514980573,37.7362748759,6.0,20250725153422,27.0,,이태리식당,10870,41,480.0,FD,FD02,FD020300
경기도 고양시 덕양구 호국로1283번길 27 (신원동),,31.0,A05,A0502,A05020900,2877083,39,20221027110836,http://tong.visitkorea.or.kr/cms/resource/65/2877065_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/65/2877065_image3_1.jpeg,Type3,126.8784269729,37.6787060721,6.0,20250626154813,2.0,,이태리한옥,10565,41,281.0,FD,FD05,FD050100
경기도 고양시 일산동구 장대길 229-30 (장항동),,31.0,A02,A0203,A02030100,2782653,12,20211129195107,,,,126.7540642868,37.6450022197,6.0,20250626142812,2.0,,이한농원,10398,41,285.0,EX,EX03,EX030100
경기도 포천시 가산면 금현리,1082-11,31.0,A02,A0201,A02010700,231914,12,20071005090000,http://tong.visitkorea.or.kr/cms/resource/71/3024471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3024471_image3_1.jpg,Type3,127.1848168484,37.8310549751,6.0,20250805102725,29.0,,이항복선생묘,11167,41,650.0,HS,HS01,HS010800
경기도 구리시 갈매중앙로 81-8 (갈매동),,31.0,B02,B0201,B02010100,2917267,32,20221124102659,http://tong.visitkorea.or.kr/cms/resource/97/2916597_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2916597_image3_1.jpg,Type3,127.1166982221,37.6323324208,6.0,20250430112259,6.0,,인디프레젠트호텔,11901,41,310.0,AC,AC01,AC010100
경기도 포천시 신북면 신평로222번길 12-49,,,,,,848248,12,20091030182735,https://tong.visitkorea.or.kr/cms/resource/55/3519755_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/55/3519755_image3_1.jpg,Type1,127.216507,37.942734,6.0,20260317101259,,,인평대군묘및신도비,11138,41,650.0,HS,HS01,HS010800
경기도 포천시 신북면 신평로222번길 12-48,,31.0,A02,A0205,A02050200,848256,12,20091030182907,http://tong.visitkorea.or.kr/cms/resource/04/3519904_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3519904_image3_1.jpg,Type1,127.2161163232,37.9419398436,6.0,20250811161843,29.0,,인평대군치제문비,11138,41,650.0,HS,HS02,HS020100
